Sample ID,Main type
GSM2867943,Leukemia
GSM2867944,Leukemia
GSM2867945,Leukemia
GSM2867946,Leukemia
GSM2867947,Leukemia
GSM2867948,Leukemia
GSM2867949,Leukemia
GSM2867950,Leukemia
GSM2867951,Leukemia
GSM2867952,Leukemia
GSM2867953,Leukemia
GSM2867954,Leukemia
GSM2867955,Leukemia
GSM2867956,Leukemia
GSM2867957,Leukemia
GSM2867958,Leukemia
GSM2867959,Leukemia
GSM2867960,Leukemia
GSM2867961,Leukemia
GSM2867962,Leukemia
GSM2867963,Leukemia
GSM2867964,Leukemia
GSM2867965,Leukemia
GSM2867966,Leukemia
GSM2867967,Leukemia
GSM2867968,Leukemia
GSM2867969,Leukemia
GSM2867970,Leukemia
GSM2867971,Leukemia
GSM2867972,Leukemia
